Identifikácia pravidla,,,,,,W09–W11 Údaje o zvierati,,,,,W13/W14 + W16/W17 Nevyhnutné varovania,,,W15/W19/W20 Kontakty,,,,,,,,,,W21 Dobrovoľníci,,,W22/W23 Pomôžte sami,,,,,,,,,W24/W25 Ukončenie,,Interné,Developer flow – zranené zvieratá,
ID,Typ situácie,Kategória,Podkategória,Druh zvieraťa,Vyplniť na úrovni,W09 – checkboxy „Čo je zvieraťu?“,W09 – Je pri vedomí?,W09 – Ide o mláďa?,W09b – Iné,W09b/W11 – placeholder opisu,W13/W14 – vybraný frame,"W13/W14 – Čo nerobiť (doslova, všetky body)","W14 – Čo urobiť pred ďalším postupom (doslova, všetky body)",W15/W20 – kontakt 1 typ,Kontakt 1 – CTA / nadpis,Kontakt 1 – text pod nadpisom,Kontakt 1 – podľa polohy?,Kontakt 1 – lokalitná DB,W19/W15 – kontakt 2 typ,Kontakt 2 – CTA / nadpis,Kontakt 2 – text pod nadpisom,Kontakt 2 – podľa polohy?,Kontakt 2 – lokalitná DB,W21 – zobraziť?,W21 – poradie,W21 – text pod nadpisom,W22/W23 – zobraziť?,W22/W23 – intro,Krok 1 nadpis,Krok 1 text,Krok 2 nadpis,Krok 2 text,Krok 3 nadpis,Krok 3 text,Link,W24 – kto pomohol? možnosti,W25a/W25b – dôvody neúspechu,Poznámka pre IT / dizajn,Flow ID,Stav / čo ešte doplniť
ZRZAT-001,Zranené,Domáce zvieratá,,Pes,Druh – používa FLOW-ZR-DOM,"Je zranené po zrážke s vozidlom ASI EŠTE VŠADE KDE JE VHODNÉ DOPLNIŤ DOŠLO K ZRÁŽKE S VOZDILOM - PRE ZO KOMENTÁR (POZRIEŤ PRESNE ZNENIE ZÁKONA)
Spadlo z výšky
Krváca alebo má otvorenú ranu
Má poranenú končatinu, výrazne kríva alebo nevie stáť
Má sťažené dýchanie
Je apatické, v bezvedomí, má kŕče alebo reaguje nezvyčajne
Podozrenie na otravu alebo popálenie
Napadlo ho iné zviera
Je uviaznuté, zakliesnené alebo zamotané
Videl/a som alebo mám dôvodné podozrenie, že zviera úmyselne zranil človek (napr. bitím, postrelením alebo pascou)
Neviem
Iné","Áno
Nie
Neviem",Nedávať,Iné → rozbaliť W09b,Stručne popíšte iné zranenie alebo stav zvieraťa.,W14,"• K zranenému psovi sa nepribližujte prudko a nesnažte sa ho chytať nasilu.
• Nesiahajte mu do papule, nevyťahujte predmety z rany a nedávajte mu ľudské lieky.","• Ak pes leží, nehýbe sa alebo nehrozí jeho únik, nechajte ho v pokoji, držte si odstup a nedovoľte, aby ho rušili deti, psy alebo iné zvieratá.
• Ak hrozí, že pes ujde alebo sa ďalej zraní, pokúste sa mu v tom zabrániť len vtedy, ak je to bezpečné – ideálne bez priameho chytania, napríklad uzavretím priestoru alebo vytvorením pokojnej bariéry z odstupu.",W15 – obec / mesto alebo zmluvná osoba na odchyt ZATIAĽ PONECHANÉ TAK - ALE ASI V MPV BUDEME DÁVAŤ IBA KONTAKT NA OBEC - PODĽA TOHO AKO STIHNEME UROBIŤ ANALÝZU OBCÍ,Zavolajte obci alebo mestu,"Obec je povinná prevziať túlavé zviera nájdené na území obce od nálezcu a umiestniť ho v karanténnej stanici alebo útulku pre zvieratá.

Oznámte presnú polohu, druh a stav zvieraťa a či ohrozuje premávku alebo ľudí.",Áno – podľa obce z W03a/W03b,KONTAKTY_OBCE_ODCHYT – obec → schválená osoba na odchyt,"W18 – veterinár / partnerská klinika EŠTE ODKOMUNIKOVAŤ S DIZAJN, ŽE W18 JE TO KDE MÁ BYŤ POUČENIE ŽE TO NEBUDE BEZPLATNÉ",Môžete zavolať na veterinárnu kliniku,"Najprv telefonicky overte, či môže klinika zranené zviera bezodkladne prijať, kto zabezpečí prevoz a za akých podmienok.",Áno – podľa lokality a druhu,KONTAKTY_VET – druh zvieraťa + okres/kraj + dostupnosť,Áno,3. kontakt,"Ak nepomohla obec ani veterinár, zobrazte dostupných dobrovoľníkov Zverolinky podľa lokality a druhu zvieraťa.",Áno – až po neúspechu kontaktov,"Ak sa nepodarilo zabezpečiť pomoc cez kontakty, pokračujte len podľa podrobného návodu pre tento druh.",,,,,,,,"Obec / mesto alebo osoba schválená na odchyt
Veterinár / klinika
Dobrovoľník Zverolinky
Polícia (pri podozrení na úmyselné zranenie)
Iná osoba
Pomohol/pomohla som sám/sama","Obec/mesto alebo zmluvný odchyt nezdvihli
Obec/mesto alebo zmluvný odchyt odmietli pomôcť alebo prísť
Veterinár/klinika boli nedostupní alebo zatvorení
Veterinár/klinika odmietli zviera prijať
Nemohol/nemohla som zabezpečiť alebo uhradiť prevoz/ošetrenie
Dobrovoľníci neboli k dispozícii
Zviera utieklo alebo sa skrylo
Manipulácia nebola bezpečná
Zviera na mieste uhynulo
Situáciu vyriešil niekto iný
Iné",,FLOW-ZR-DOM,FLOW PRIPRAVENÝ; DOPLNIŤ DATABÁZU OBCÍ/ODCHYTOV A VETERÍN A DOPLŇIŤ POKYNY DO POMôŽTE SAMI 
ZRZAT-002,Zatúlané,Domáce zvieratá,,Pes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRZAT-003,Zranené,Domáce zvieratá,,Mačka,Druh – používa FLOW-ZR-DOM,"Je zranené po zrážke s vozidlom
Spadlo z výšky
Krváca alebo má otvorenú ranu
Má poranenú končatinu, výrazne kríva alebo nevie stáť
Má sťažené dýchanie
Je apatické, v bezvedomí, má kŕče alebo reaguje nezvyčajne
Podozrenie na otravu alebo popálenie
Napadlo ho iné zviera
Je uviaznuté, zakliesnené alebo zamotané
Videl/a som alebo mám dôvodné podozrenie, že zviera úmyselne zranil človek (napr. bitím, postrelením alebo pascou)
Neviem
Iné","Áno
Nie
Neviem","Áno
Nie
Neviem",Iné → rozbaliť W09b,Stručne popíšte iné zranenie alebo stav zvieraťa.,W14,"• Zranenú mačku nechytajte nasilu a nesnažte sa ju vyťahovať z úkrytu rukami.
• Nedávajte jej kravské mlieko, ľudské lieky ani sa nepokúšajte sami ošetrovať rany.","• Ak nehrozí, že mačka utečie alebo sa ďalej zraní, nechajte ju v pokoji, držte si odstup a nedovoľte, aby ju rušili deti, psy alebo iné zvieratá.
• Ak hrozí únik alebo ďalšie zranenie, pokúste sa jej v tom zabrániť len vtedy, ak je to bezpečné – napríklad uzavretím priestoru alebo opatrným prekrytím uterákom/dekou a umiestnením do prepravky alebo krabice s prístupom vzduchu.",W15 – obec / mesto alebo zmluvná osoba na odchyt,Zavolajte obci alebo mestu,"Obec je povinná prevziať túlavé zviera nájdené na území obce od nálezcu a umiestniť ho v karanténnej stanici alebo útulku pre zvieratá.

Oznámte presnú polohu, druh a stav zvieraťa a či ohrozuje premávku alebo ľudí.",Áno – podľa obce z W03a/W03b,KONTAKTY_OBCE_ODCHYT – obec → schválená osoba na odchyt,W18 – veterinár / partnerská klinika,Môžete zavolať na veterinárnu kliniku,"Najprv telefonicky overte, či môže klinika zranené zviera bezodkladne prijať, kto zabezpečí prevoz a za akých podmienok.",Áno – podľa lokality a druhu,KONTAKTY_VET – druh zvieraťa + okres/kraj + dostupnosť,Áno,3. kontakt,"Ak nepomohla obec ani veterinár, zobrazte dostupných dobrovoľníkov Zverolinky podľa lokality a druhu zvieraťa.",Áno – až po neúspechu kontaktov,"Ak sa nepodarilo zabezpečiť pomoc cez kontakty, pokračujte len podľa podrobného návodu pre tento druh.",,,,,,,,"Obec / mesto alebo osoba schválená na odchyt
Veterinár / klinika
Dobrovoľník Zverolinky
Polícia (pri podozrení na úmyselné zranenie)
Iná osoba
Pomohol/pomohla som sám/sama","Obec/mesto alebo zmluvný odchyt nezdvihli
Obec/mesto alebo zmluvný odchyt odmietli pomôcť alebo prísť
Veterinár/klinika boli nedostupní alebo zatvorení
Veterinár/klinika odmietli zviera prijať
Nemohol/nemohla som zabezpečiť alebo uhradiť prevoz/ošetrenie
Dobrovoľníci neboli k dispozícii
Zviera utieklo alebo sa skrylo
Manipulácia nebola bezpečná
Zviera na mieste uhynulo
Situáciu vyriešil niekto iný
Iné",,FLOW-ZR-DOM,FLOW PRIPRAVENÝ; DOPLNIŤ DATABÁZU OBCÍ/ODCHYTOV A VETERÍN A DOPLŇIŤ POKYNY DO POMôŽTE SAMI 
ZRZAT-004,Zatúlané,Domáce zvieratá,,Mačka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRZAT-005,Zranené,Domáce zvieratá,,Fretka,Druh – používa FLOW-ZR-DOM,"Je zranené po zrážke s vozidlom
Spadlo z výšky
Krváca alebo má otvorenú ranu
Má poranenú končatinu, výrazne kríva alebo nevie stáť
Má sťažené dýchanie
Je apatické, v bezvedomí, má kŕče alebo reaguje nezvyčajne
Podozrenie na otravu alebo popálenie
Napadlo ho iné zviera
Je uviaznuté, zakliesnené alebo zamotané
Videl/a som alebo mám dôvodné podozrenie, že zviera úmyselne zranil človek (napr. bitím, postrelením alebo pascou)
Neviem
Iné","Áno
Nie
Neviem","Áno
Nie
Neviem",Iné → rozbaliť W09b,Stručne popíšte iné zranenie alebo stav zvieraťa.,W14,"• Zranenú fretku nechytajte za chvost, nestláčajte ju a nesiahajte jej k hlave holými rukami.
• Nedávajte ju do nevetraného vreca, tašky alebo krabice.","• Ak nehrozí, že fretka utečie alebo sa ďalej zraní, nechajte ju v pokoji, držte si odstup a nedovoľte, aby ju rušili deti, psy alebo iné zvieratá.
• Ak hrozí únik alebo ďalšie zranenie, pokúste sa jej v tom zabrániť len vtedy, ak je to bezpečné – napríklad uzavretím priestoru alebo opatrným prekrytím uterákom/dekou a umiestnením do prepravky alebo krabice s prístupom vzduchu.",W15 – obec / mesto alebo zmluvná osoba na odchyt,Zavolajte obci alebo mestu,"Obec je povinná prevziať túlavé zviera nájdené na území obce od nálezcu a umiestniť ho v karanténnej stanici alebo útulku pre zvieratá.

Oznámte presnú polohu, druh a stav zvieraťa a či ohrozuje premávku alebo ľudí.",Áno – podľa obce z W03a/W03b,KONTAKTY_OBCE_ODCHYT – obec → schválená osoba na odchyt,W18 – veterinár / partnerská klinika,Môžete zavolať na veterinárnu kliniku,"Najprv telefonicky overte, či môže klinika zranené zviera bezodkladne prijať, kto zabezpečí prevoz a za akých podmienok.",Áno – podľa lokality a druhu,KONTAKTY_VET – druh zvieraťa + okres/kraj + dostupnosť,Áno,3. kontakt,"Ak nepomohla obec ani veterinár, zobrazte dostupných dobrovoľníkov Zverolinky podľa lokality a druhu zvieraťa.",Áno – až po neúspechu kontaktov,"Ak sa nepodarilo zabezpečiť pomoc cez kontakty, pokračujte len podľa podrobného návodu pre tento druh.",,,,,,,,"Obec / mesto alebo osoba schválená na odchyt
Veterinár / klinika
Dobrovoľník Zverolinky
Polícia (pri podozrení na úmyselné zranenie)
Iná osoba
Pomohol/pomohla som sám/sama","Obec/mesto alebo zmluvný odchyt nezdvihli
Obec/mesto alebo zmluvný odchyt odmietli pomôcť alebo prísť
Veterinár/klinika boli nedostupní alebo zatvorení
Veterinár/klinika odmietli zviera prijať
Nemohol/nemohla som zabezpečiť alebo uhradiť prevoz/ošetrenie
Dobrovoľníci neboli k dispozícii
Zviera utieklo alebo sa skrylo
Manipulácia nebola bezpečná
Zviera na mieste uhynulo
Situáciu vyriešil niekto iný
Iné",,FLOW-ZR-DOM,FLOW PRIPRAVENÝ; DOPLNIŤ DATABÁZU OBCÍ/ODCHYTOV A VETERÍN A DOPLŇIŤ POKYNY DO POMôŽTE SAMI 
ZRZAT-006,Zatúlané,Domáce zvieratá,,Fretka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRZAT-007,Zranené,Domáce zvieratá,,Králik,Druh – používa FLOW-ZR-DOM,"Krváca alebo má otvorenú ranu
Má poranenú končatinu, výrazne kríva alebo nevie stáť
Má nafúknuté brucho
Má sťažené dýchanie
Je apatický/á, v bezvedomí, má kŕče alebo reaguje nezvyčajne
Podozrenie na otravu alebo popálenie
Napadlo ho/ju iné zviera
Je uviaznutý/á, zakliesnený/á alebo zamotaný/á
Videl/a som alebo mám dôvodné podozrenie, že zviera úmyselne zranil človek (napr. bitím, postrelením alebo pascou)
Neviem
Iné","Áno
Nie
Neviem","Áno
Nie
Neviem",Iné → rozbaliť W09b,Stručne popíšte iné zranenie alebo stav zvieraťa.,W14,"• Zraneného králika nedvíhajte za uši, nohy ani samotnú kožu na zátylku.
• Nenaháňajte ho, nestláčajte mu telo a nerobte prudké pohyby.","• Ak nehrozí, že králik utečie alebo sa ďalej zraní, nechajte ho v pokoji, obmedzte hluk a nedovoľte, aby ho rušili deti, psy alebo iné zvieratá.
• Ak hrozí únik alebo ďalšie zranenie, pokúste sa mu v tom zabrániť len vtedy, ak je to bezpečné – napríklad opatrným prekrytím krabicou alebo umiestnením do prepravky/krabice s prístupom vzduchu.",W15 – obec / mesto alebo zmluvná osoba na odchyt,Zavolajte obci alebo mestu,"Obec je povinná prevziať túlavé zviera nájdené na území obce od nálezcu a umiestniť ho v karanténnej stanici alebo útulku pre zvieratá.

Oznámte presnú polohu, druh a stav zvieraťa a či ohrozuje premávku alebo ľudí.",Áno – podľa obce z W03a/W03b,KONTAKTY_OBCE_ODCHYT – obec → schválená osoba na odchyt,W18 – veterinár / partnerská klinika,Môžete zavolať na veterinárnu kliniku,"Najprv telefonicky overte, či môže klinika zranené zviera bezodkladne prijať, kto zabezpečí prevoz a za akých podmienok.",Áno – podľa lokality a druhu,KONTAKTY_VET – druh zvieraťa + okres/kraj + dostupnosť,Áno,3. kontakt,"Ak nepomohla obec ani veterinár, zobrazte dostupných dobrovoľníkov Zverolinky podľa lokality a druhu zvieraťa.",Áno – až po neúspechu kontaktov,"Ak sa nepodarilo zabezpečiť pomoc cez kontakty, pokračujte len podľa podrobného návodu pre tento druh.",,,,,,,,"Obec / mesto alebo osoba schválená na odchyt
Veterinár / klinika
Dobrovoľník Zverolinky
Polícia (pri podozrení na úmyselné zranenie)
Iná osoba
Pomohol/pomohla som sám/sama","Obec/mesto alebo zmluvný odchyt nezdvihli
Obec/mesto alebo zmluvný odchyt odmietli pomôcť alebo prísť
Veterinár/klinika boli nedostupní alebo zatvorení
Veterinár/klinika odmietli zviera prijať
Nemohol/nemohla som zabezpečiť alebo uhradiť prevoz/ošetrenie
Dobrovoľníci neboli k dispozícii
Zviera utieklo alebo sa skrylo
Manipulácia nebola bezpečná
Zviera na mieste uhynulo
Situáciu vyriešil niekto iný
Iné",,FLOW-ZR-DOM,FLOW PRIPRAVENÝ; DOPLNIŤ DATABÁZU OBCÍ/ODCHYTOV A VETERÍN A DOPLŇIŤ POKYNY DO POMôŽTE SAMI 
ZRZAT-008,Zatúlané,Domáce zvieratá,,Králik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRZAT-009,Zranené,Domáce zvieratá,,Morča,Druh – používa FLOW-ZR-DOM,"Krváca alebo má otvorenú ranu
Má poranenú končatinu, výrazne kríva alebo nevie stáť
Má nafúknuté brucho
Má sťažené dýchanie
Je apatický/á, v bezvedomí, má kŕče alebo reaguje nezvyčajne
Podozrenie na otravu alebo popálenie
Napadlo ho/ju iné zviera
Je uviaznutý/á, zakliesnený/á alebo zamotaný/á
Videl/a som alebo mám dôvodné podozrenie, že zviera úmyselne zranil človek (napr. bitím, postrelením alebo pascou)
Neviem
Iné","Áno
Nie
Neviem","Áno
Nie
Neviem",Iné → rozbaliť W09b,Stručne popíšte iné zranenie alebo stav zvieraťa.,W14,"• Zranené morča nechytajte za nohy, srsť ani kožu na krku.
• Nenaháňajte ho, nestláčajte mu hrudník ani brucho a nerobte prudké pohyby.","• Ak hrozí únik, pokúste sa ho bezpečne chytiť napríklad prekrytím látkou a vložením do malej prepravky alebo krabice s prístupom vzduchu.
• Ak je už zabezpečený, nechajte ho v pokoji a nemanipulujte s ním viac, než je nevyhnutné.",W15 – obec / mesto alebo zmluvná osoba na odchyt,Zavolajte obci alebo mestu,"Obec je povinná prevziať túlavé zviera nájdené na území obce od nálezcu a umiestniť ho v karanténnej stanici alebo útulku pre zvieratá.

Oznámte presnú polohu, druh a stav zvieraťa a či ohrozuje premávku alebo ľudí.",Áno – podľa obce z W03a/W03b,KONTAKTY_OBCE_ODCHYT – obec → schválená osoba na odchyt,W18 – veterinár / partnerská klinika,Môžete zavolať na veterinárnu kliniku,"Najprv telefonicky overte, či môže klinika zranené zviera bezodkladne prijať, kto zabezpečí prevoz a za akých podmienok.",Áno – podľa lokality a druhu,KONTAKTY_VET – druh zvieraťa + okres/kraj + dostupnosť,Áno,3. kontakt,"Ak nepomohla obec ani veterinár, zobrazte dostupných dobrovoľníkov Zverolinky podľa lokality a druhu zvieraťa.",Áno – až po neúspechu kontaktov,"Ak sa nepodarilo zabezpečiť pomoc cez kontakty, pokračujte len podľa podrobného návodu pre tento druh.",,,,,,,,"Obec / mesto alebo osoba schválená na odchyt
Veterinár / klinika
Dobrovoľník Zverolinky
Polícia (pri podozrení na úmyselné zranenie)
Iná osoba
Pomohol/pomohla som sám/sama","Obec/mesto alebo zmluvný odchyt nezdvihli
Obec/mesto alebo zmluvný odchyt odmietli pomôcť alebo prísť
Veterinár/klinika boli nedostupní alebo zatvorení
Veterinár/klinika odmietli zviera prijať
Nemohol/nemohla som zabezpečiť alebo uhradiť prevoz/ošetrenie
Dobrovoľníci neboli k dispozícii
Zviera utieklo alebo sa skrylo
Manipulácia nebola bezpečná
Zviera na mieste uhynulo
Situáciu vyriešil niekto iný
Iné",,FLOW-ZR-DOM,FLOW PRIPRAVENÝ; DOPLNIŤ DATABÁZU OBCÍ/ODCHYTOV A VETERÍN A DOPLŇIŤ POKYNY DO POMôŽTE SAMI 
ZRZAT-010,Zatúlané,Domáce zvieratá,,Morča,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
